"id","title","is_succeeded","start_date","close_date","expected_return","expected_risk","expert_id","symbol_id","should_buy","profit"
4035,"",1,"2018-04-28","2018-08-27",30.6,-18.73,23,100,0,30.6
4116,"",1,"2018-04-16","2018-09-05",35.93,-27.63,23,100,0,35.93
4117,"",1,"2018-04-16","2018-09-05",35.93,-27.63,23,100,0,35.93
4195,"",1,"2018-04-07","2018-09-15",59.13,-30.39,23,100,0,59.13
4196,"",1,"2018-04-07","2018-09-15",59.03,-30.43,23,100,0,59.03
4312,"",1,"2018-03-25","2018-09-14",59.64,-29.41,23,100,0,59.64
4313,"",1,"2018-03-25","2018-09-14",59.39,-29.41,23,100,0,59.39
4372,"",1,"2018-03-05","2018-09-01",33.19,-27.16,23,100,0,33.19
4403,"",1,"2018-02-28","2018-09-08",33.24,-17.52,23,100,0,33.24
4713,"",1,"2017-11-08","2018-01-24",32.82,-15.49,23,100,0,32.82
4739,"",1,"2017-10-25","2018-01-23",24.53,-12.34,23,100,0,24.53
4767,"",1,"2017-10-15","2018-01-30",34.71,-15.28,23,100,0,34.71
4792,"",1,"2017-10-07","2018-01-23",33.82,-15.48,23,100,0,33.82
5051,"",1,"2017-06-16","2017-07-30",23.15,-8.28,23,100,0,31.37
5070,"",1,"2017-06-01","2017-07-29",19.15,-7.98,23,100,0,23.6
5096,"",1,"2017-05-23","2017-07-29",32.28,-10.62,23,100,0,18.02
5383,"",1,"2018-08-04","2018-08-28",33.58,-30.34,26,100,0,33.58
5399,"",1,"2018-07-25","2018-08-27",27.11,-30.19,26,100,0,27.11
5405,"",1,"2018-07-22","2018-09-01",43.73,-28.63,26,100,0,36.82
5409,"",1,"2018-07-16","2018-09-01",16.88,-28.15,26,100,0,37.74
6169,"",1,"2018-11-14","2019-06-15",55.74,-30.98,28,100,0,55.74
6205,"",1,"2018-08-04","2018-08-29",36.24,-21.05,28,100,0,36.24
6206,"",1,"2018-08-04","2018-08-29",36.24,-21.05,28,100,0,36.24
6325,"",1,"2018-06-19","2018-09-01",22.81,-18.34,28,100,0,22.81
6326,"",1,"2018-06-19","2018-09-01",23.0,-18.46,28,100,0,23.0
6515,"",1,"2018-04-28","2018-08-27",30.6,-18.73,28,100,0,30.6
6516,"",1,"2018-04-28","2018-08-27",30.6,-18.73,28,100,0,30.6
6598,"",1,"2018-04-16","2018-09-01",33.63,-28.36,28,100,0,33.63
6601,"",1,"2018-04-16","2018-09-01",36.72,-26.69,28,100,0,36.72
6680,"",1,"2018-04-07","2018-09-15",58.58,-30.39,28,100,0,58.58
6681,"",1,"2018-04-07","2018-09-15",58.28,-30.39,28,100,0,58.28
6770,"",1,"2018-03-25","2018-09-14",56.06,-30.9,28,100,0,56.06
